data,PETR4
2018-06-25,13.3274
2018-06-26,13.6161
2018-06-27,14.049
2018-06-28,14.0914
2018-06-29,14.5923
2018-07-02,14.83
2018-07-03,14.8554
2018-07-04,15.6619
2018-07-05,15.161
2018-07-06,15.2289
2018-07-10,15.0676
2018-07-11,14.779
2018-07-12,15.2374
2018-07-13,15.3732
2018-07-16,15.178
2018-07-17,15.526
2018-07-18,15.3223
2018-07-19,15.6194
2018-07-20,16.3749
2018-07-23,16.3495
2018-07-24,16.689
2018-07-25,16.9437
2018-07-26,16.4768
2018-07-27,16.7824
2018-07-30,16.8843
2018-07-31,16.7399
2018-08-01,16.9861
2018-08-02,17.3257
2018-08-03,17.9199
2018-08-06,17.8605
2018-08-07,17.5803
2018-08-08,17.0965
2018-08-09,17.2662
2018-08-10,16.6296
2018-08-13,17.0116
2018-08-14,17.0031
2018-08-15,16.2116
2018-08-16,16.1265
2018-08-17,15.7095
2018-08-20,15.6244
2018-08-21,15.0798
2018-08-22,15.6159
2018-08-23,15.2755
2018-08-24,15.5734
2018-08-27,15.9223
2018-08-28,15.6159
2018-08-29,16.4244
2018-08-30,15.9989
2018-08-31,16.3904
2018-09-03,16.1691
2018-09-04,15.8712
2018-09-05,15.8712
2018-09-06,16.1606
2018-09-10,16.3904
2018-09-11,15.7436
2018-09-12,16.1265
2018-09-13,15.9223
2018-09-14,15.9904
2018-09-17,16.5095
2018-09-18,17.2328
2018-09-19,17.0031
2018-09-20,16.9095
2018-09-21,17.1392
2018-09-24,17.0201
2018-09-25,17.0882
2018-09-26,17.1818
2018-09-27,18.2626
2018-09-28,17.9477
2018-10-01,17.8711
2018-10-02,19.4199
2018-10-03,20.2454
2018-10-04,20.4411
2018-10-05,20.3901
2018-10-08,22.6367
2018-10-09,22.8239
2018-10-10,22.1687
2018-10-11,21.5219
2018-10-15,21.9304
2018-10-16,22.7474
2018-10-17,22.5091
2018-10-18,21.8708
2018-10-19,22.058
2018-10-22,22.5772
2018-10-23,22.2963
2018-10-24,21.8538
2018-10-25,22.3984
2018-10-26,23.4877
2018-10-29,22.4835
2018-10-30,23.8281
2018-10-31,23.5047
2018-11-01,23.2494
2018-11-05,23.9643
2018-11-06,23.1388
2018-11-07,22.3814
2018-11-08,21.573
2018-11-09,21.6666
2018-11-12,21.5559
2018-11-13,20.6284
2018-11-14,21.3602
2018-11-16,21.9559
2018-11-19,22.1261
2018-11-21,21.4198
2018-11-22,21.4881
2018-11-23,20.8217
2018-11-26,20.7192
2018-11-27,21.8128
2018-11-28,21.6847
2018-11-29,21.5052
2018-11-30,21.753
2018-12-03,22.1631
2018-12-04,21.6505
2018-12-05,21.8384
2018-12-06,21.0097
2018-12-07,21.1635
2018-12-10,20.0271
2018-12-11,19.899
2018-12-12,19.9075
2018-12-13,19.9588
2018-12-14,19.6939
2018-12-17,19.5401
2018-12-18,18.7968
2018-12-19,19.0104
2018-12-20,18.361
2018-12-21,18.4123
2018-12-26,19.1565
2018-12-27,19.1477
2018-12-28,20.0401
2019-01-02,21.2595
2019-01-03,21.7808
2019-01-04,21.8427
2019-01-07,22.1873
2019-01-08,22.0548
2019-01-09,22.5142
2019-01-10,22.3198
2019-01-11,22.0813
2019-01-14,21.9576
2019-01-15,21.9399
2019-01-16,21.931
2019-01-17,22.2315
2019-01-18,22.4435
2019-01-21,22.5584
2019-01-22,22.205
2019-01-23,22.47
2019-01-24,22.5672
2019-01-28,21.8869
2019-01-29,22.417
2019-01-30,22.6379
2019-01-31,22.6026
2019-02-01,22.797
2019-02-04,23.0002
2019-02-05,23.0179
2019-02-06,22.5231
2019-02-07,22.1696
2019-02-08,22.205
2019-02-11,21.9487
2019-02-12,22.7263
2019-02-13,23.0179
2019-02-14,23.8131
2019-02-15,23.7159
2019-02-18,23.6452
2019-02-19,24.1931
2019-02-20,23.8926
2019-02-21,24.2107
2019-02-22,23.9722
2019-02-25,23.5922
2019-02-26,23.4862
2019-02-27,23.928
2019-02-28,23.9103
2019-03-01,23.5922
2019-03-06,23.6452
2019-03-07,23.6541
2019-03-08,23.5657
2019-03-11,24.52
2019-03-12,24.2991
2019-03-13,24.8293
2019-03-14,24.9088
2019-03-15,24.9618
2019-03-18,25.3948
2019-03-19,25.8012
2019-03-20,25.598
2019-03-21,25.2357
2019-03-22,23.8573
2019-03-25,24.1577
2019-03-26,25.2976
2019-03-27,24.1577
2019-03-28,24.7939
2019-03-29,24.7939
2019-04-01,24.7409
2019-04-02,24.9972
2019-04-03,24.3344
2019-04-04,25.1562
2019-04-05,25.4301
2019-04-08,25.8454
2019-04-09,25.7659
2019-04-10,25.4301
2019-04-11,24.7409
2019-04-12,22.8235
2019-04-15,22.9118
2019-04-16,23.6099
2019-04-17,23.6364
2019-04-18,24.3875
2019-04-22,24.2461
2019-04-23,24.4582
2019-04-24,24.3875
2019-04-25,24.5642
2019-04-26,24.0951
2019-04-29,24.2012
2019-04-30,23.9713
2019-05-02,23.6353
2019-05-03,23.7414
2019-05-06,23.6707
2019-05-07,23.2993
2019-05-08,24.2012
2019-05-09,23.7237
2019-05-10,23.5911
2019-05-13,22.9014
2019-05-14,22.9898
2019-05-15,22.8837
2019-05-16,22.3443
2019-05-17,21.8226
2019-05-20,22.5654
2019-05-21,23.4231
2019-05-22,23.3343
2019-05-23,22.9349
2019-05-24,23.1568
2019-05-27,23.2899
2019-05-28,23.787
2019-05-29,23.5207
2019-05-30,23.2101
2019-05-31,22.6775
2019-06-03,23.0681
2019-06-04,23.2544
2019-06-05,22.9527
2019-06-06,23.3255
2019-06-07,23.7515
2019-06-10,23.6539
2019-06-11,24.1065
2019-06-12,23.8314
2019-06-13,24.1243
2019-06-14,24.0178
2019-06-17,24.0621
2019-06-18,24.3639
2019-06-19,24.426
2019-06-21,25.1006
2019-06-24,25.074
2019-06-25,24.4172
2019-06-26,24.5592
2019-06-27,24.1686
2019-06-28,24.3284
2019-07-01,24.1953
2019-07-02,23.8047
2019-07-03,24.0799
2019-07-04,24.3107
2019-07-05,24.3195
2019-07-08,24.5414
2019-07-10,24.9142
2019-07-11,25.2071
2019-07-12,25.3225
2019-07-15,25.0118
2019-07-16,24.7012
2019-07-17,24.5681
2019-07-18,24.4172
2019-07-19,24.355
2019-07-22,24.3994
2019-07-23,24.426
2019-07-24,24.2752
2019-07-25,23.8669
2019-07-26,23.2012
2019-07-29,23.4142
2019-07-30,23.2899
2019-07-31,23.1479
2019-08-01,22.7219
2019-08-02,23.5385
2019-08-05,22.6775
2019-08-06,22.9704
2019-08-07,22.7219
2019-08-08,23.3876
2019-08-09,23.3255
2019-08-12,22.7663
2019-08-13,23.0704
2019-08-14,22.2922
2019-08-15,21.6749
2019-08-16,21.3887
2019-08-19,21.496
2019-08-20,21.4871
2019-08-21,22.7663
2019-08-22,22.5605
2019-08-23,21.7197
2019-08-26,21.4334
2019-08-27,21.7733
2019-08-28,21.997
2019-08-29,22.811
2019-08-30,22.811
2019-09-02,22.6321
2019-09-03,22.9005
2019-09-04,23.4909
2019-09-05,23.6072
2019-09-06,23.7234
2019-09-09,24.0902
2019-09-10,24.2423
2019-09-11,24.0365
2019-09-12,24.2065
2019-09-13,24.0455
2019-09-16,25.1011
2019-09-17,24.7701
2019-09-18,24.3496
2019-09-19,24.4123
2019-09-20,24.1528
2019-09-23,24.5822
2019-09-24,24.3944
2019-09-25,24.457
2019-09-26,24.779
2019-09-27,24.7432
2019-09-30,24.6448
2019-10-01,24.6091
